ENTRY,NAME,FORMULA,MASS,M.plus.H,M.minus.H,Biofluid
HMDB01185 ,  , C15H23N6O5S,399.145,400.152276,398.137724,Blood; Cerebrospinal Fluid; Urine
HMDB04296 ,  , C3H5NO,71.037,72.044276,70.029724,Not Available
HMDB05011 ,  , C16H16ClNO2S,321.059,322.066276,320.051724,Not Available
HMDB12982 ,  , C6H7N3O,137.059,138.066276,136.051724,Not Available
HMDB12467 , (-)-epicatechin sulfate , C15H13O9S,369.028,370.035276,368.020724,Not Available
HMDB12468 , (-)-epigallocatechin sulfate , C15H13O10S,385.023,386.030276,384.015724,Not Available
HMDB12469 , (-)-Salsoline , C11H15NO2,193.11,194.117276,192.102724,Not Available
HMDB03450 , (-)-trans-Carveol , C10H16O,152.12,153.127276,151.112724,Not Available
HMDB12111 ," (+)-(1R,2R)-1,2-Diphenylethane-1,2-diol ", C14H14O2,214.099,215.106276,213.091724,Not Available
HMDB04487 , (+)-(S)-Carvone , C10H14O,150.104,151.111276,149.096724,Not Available
HMDB06525 , (+)-a-Pinene , C10H16,136.125,137.132276,135.117724,Not Available
HMDB04321 , (+)-Limonene , C10H16,136.125,137.132276,135.117724,Not Available
HMDB01320 ," (13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid ", C20H32O5,352.225,353.232276,351.217724,Not Available
HMDB12112 , (22Alpha)-hydroxy-5alpha-campestan-3-one , C28H48O2,416.365,417.372276,415.357724,Not Available
HMDB12113 , (22Alpha)-hydroxy-campest-4-en-3-one , C28H46O2,414.35,415.357276,413.342724,Not Available
HMDB10361 ," (23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide) ", C33H50O10,606.34,607.347276,605.332724,Not Available
HMDB11643 ," (24R)-Cholest-5-ene-3-beta,24-diol ", C27H46O2,402.35,403.357276,401.342724,Not Available
HMDB11644 ," (24R)-Cholest-5-ene-3-beta,7-alpha,24-triol ", C27H46O3,418.345,419.352276,417.337724,Not Available
HMDB03948 , (2E)-Decenoyl-CoA , C31H52N7O17P3S,919.235,920.242276,918.227724,Not Available
HMDB03712 , (2E)-Dodecenoyl-CoA , C33H52N7O17P3S,943.235,944.242276,942.227724,Not Available
HMDB03945 , (2E)-Hexadecenoyl-CoA , C37H60N7O17P3S,999.298,1000.305276,998.290724,Not Available
HMDB03949 , (2E)-Octenoyl-CoA , C29H48N7O17P3S,891.204,892.211276,890.196724,Not Available
HMDB03946 , (2E)-Tetradecenoyl-CoA , C35H60N7O17P3S,975.298,976.305276,974.290724,Not Available
HMDB12470 ," (2S,6R,10R)-Trimethyl-2E-hendecenoyl-CoA ", C35H56N7O17P3S,971.267,972.274276,970.259724,Not Available
HMDB12471 ," (2S,6R,10R)-Trimethyl-hendecanoyl-CoA ", C35H58N7O17P3S,973.282,974.289276,972.274724,Not Available
HMDB02429 ," (3a,5b)-24-oxo-24-[(2-sulfoethyl)amino]cholan-3-yl-b-D-Glucopyranosiduronic acid ", C32H53NO11S,659.334,660.341276,658.326724,Not Available
HMDB02430 ," (3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid ", C30H48O10,568.325,569.332276,567.317724,Not Available
HMDB02472 ," (3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid ", C32H51NO12,641.341,642.348276,640.333724,Not Available
HMDB12472 ," (3E,5Z,8Z)-Tetradecatrienoyl-CoA ", C35H52N7O17P3S,967.235,968.242276,966.227724,Not Available
HMDB03112 ," (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol ", C40H56O2,568.428,569.435276,567.420724,Not Available
HMDB03240 ," (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol ", C40H56O2,568.428,569.435276,567.420724,Not Available
HMDB03451 ," (3R,3'R,6'R,13-cis)-b,e-Carotene-3,3'-diol ", C40H56O2,568.428,569.435276,567.420724,Not Available
HMDB02950 ," (3R,3'R,6'R,9'-cis)-b,e-Carotene-3,3'-diol ", C40H56O2,568.428,569.435276,567.420724,Not Available
HMDB02198 ," (3R,3'R,6'R,9-cis)-Carotene-3,3'-diol ", C40H56O2,568.428,569.435276,567.420724,Not Available
HMDB03146 ," (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol ", C40H56O2,568.428,569.435276,567.420724,Not Available
HMDB03415 ," (3R,3'S,6'R)-b,e-Carotene-3,3'-diol ", C40H56O2,568.428,569.435276,567.420724,Not Available
HMDB12114 ," (3S)-3,6-Diaminohexanoate ", C6H14N2O2,146.106,147.113276,145.098724,Not Available
HMDB12475 , (3S)-3-Hydroxyadipyl-CoA , C27H44N7O20P3S,911.157,912.164276,910.149724,Not Available
HMDB12473 ," (3S)-3-Hydroxy-cis,cis-palmito-7,10-dienoyl-CoA ", C37H58N7O18P3S,1013.277,1014.284276,1012.269724,Not Available
HMDB12474 , (3S)-3-Hydroxy-cis-8-tetradecenoyl-CoA , C35H56N7O18P3S,987.262,988.269276,986.254724,Not Available
HMDB12476 , (3S)-3-Hydroxydodec-cis-6-enoyl-CoA , C33H52N7O18P3S,959.23,960.237276,958.222724,Not Available
HMDB12477 , (3S)-3-Hydroxylinoleoyl-CoA , C39H62N7O18P3S,1041.308,1042.315276,1040.300724,Not Available
HMDB12479 ," (3S)-Hydroxy-tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA ", C45H66N7O18P3S,1117.34,1118.347276,1116.332724,Not Available
HMDB12115 ," (3S,5S)-3,5-Diaminohexanoate ", C6H14N2O2,146.106,147.113276,145.098724,Not Available
HMDB12480 ," (4R,8R,12R)-Trimethyl-2E-tridecenoyl-CoA ", C37H60N7O17P3S,999.298,1000.305276,998.290724,Not Available
HMDB12116 , (5Alpha)-campestan-3-one , C28H48O,400.371,401.378276,399.363724,Not Available
