"","1","2","3","4","5","6","7","8"
"S1",17478048.2842135,4480207.40922089,10493657.0070442,4461237.00412956,8279120.77638893,27704288.4623502,5718877.92909,4687982.27641378
"S2",899375.81906758,2839559.27537237,737099.155217758,119664.993651577,5739325.02144729,20266344.4716334,2945665.80519725,1882810.88921517
"S3",12320185.1888059,3119016.31930584,7250612.40155792,1257119.45648142,426619.430324222,21061093.8652526,9364.43802554433,2344752.48078188
"S4",1798930.68185566,648249.251891961,232409.757419632,3607737.03428155,8577646.33154426,30008882.1315499,5524510.72180672,4322817.61916311
"S5",962482343.937481,99825539.3681758,258004810.713006,111570211.748518,191866630.584454,601527394.553217,140673391.318274,112851694.85489
"S6",378707471.577271,101294154.119459,255013450.766653,109658023.919378,191850448.356958,614576938.401645,141206007.163693,112739501.362071
"S7",3729953762.1836,1082380746.00394,2496068829.3355,1147595969.93302,1899460339.76872,318401886.766152,1447272615.2316,1175453096.28726
"S8",3726450341.27986,1082077724.97394,2495826971.24477,1147393460.33479,1903293689.3265,1616883305.75535,1447572227.72066,1176075456.75869
"S9",17616422.6786995,4642969.53794954,11104074.8325061,4707898.822103,8807641.14590246,28409094.1703733,6069183.43733433,4891207.50927982
"S10",13487525.1453365,4253273.10634983,9909166.04527658,4335493.82008257,7147386.44357261,21490128.8110881,5593248.95828779,4686753.46526283
"S11",15806401.0228281,4642658.14584272,10571022.3820115,4520209.11801083,8039971.26975532,25055192.2557317,6266965.1492416,4905762.79974365
"S12",562377517.373014,162609641.453426,377181245.295962,172425310.875871,289576594.019072,924349599.515949,217587124.117236,177390169.611267
"S13",1388888.51227653,327299.861846754,751368.795911825,82689.1140139103,653355.89169036,2632297.61407658,425880.090224813,366199.375985963
"S14",30981581.8669449,8299532.10321847,20173186.4324523,8968949.83803853,15055110.9011767,49511574.9745991,11548402.6323866,9251262.62552966
"S15",30865721.4076761,8275038.10259468,20137346.9673793,8959660.36659062,15003630.3329182,49370913.6655493,11542995.9297889,9248362.23232067
"S16",11216978.4255745,4463419.02104896,10637401.6170906,221635.861418824,9070802.06258179,16510050.1025398,7036784.54874507,5759565.87158398
"S17",13504042.7101688,5319639.4669905,12383712.0304346,6020515.55385131,1324587.51186143,20018703.7507712,7264310.30463293,5975075.53450194
"S18",15252323.7818089,5921608.70163641,12548720.3648039,6184208.95398483,9399540.91133163,20729630.9437703,7438157.72476312,6187583.10787955
"S19",431273876.097359,172757955.065338,389552642.497172,204430077.508946,294938851.072598,639270718.637041,255275265.70814,201848206.90392
