"","Query Mass","Database Mass (neutral mass)","rt","Isotope","Adduct","Name","spectra","Biofluid","ENTRY","p.adj","p","Fisher.Test","Mean Class plasma","Mean Class plasma_ringer_palm","Median Class plasma","Median Class plasma_ringer_palm","plasma","plasma_ringer_palm","X1","X2","X3","X4","X5","X6","X7","X8"
"1",225.0352,"Unknown","5.83","","","Unknown","1","unknown","unknown",0.720614143125713,0.720614143125713,NA,9228287.42615203,11597567.3610607,7486932.20813253,6998999.35273947,4,4,17478048.2842135,4480207.40922089,10493657.0070442,4461237.00412956,8279120.77638893,27704288.4623502,5718877.92909,4687982.27641378
"2",226.1818,"Unknown","5.83","[10][M+1]+","","Unknown","1","unknown","unknown",0.71982550556726,0.71982550556726,NA,7996364.52926137,9729379.41955283,7122329.93267957,6370317.7009302,4,4,13487525.1453365,4253273.10634983,9909166.04527658,4335493.82008257,7147386.44357261,21490128.8110881,5593248.95828779,4686753.46526283
"3",694.9655,"Unknown","6.88","[160][M+1]2+","","Unknown","3","unknown","unknown",0.24970144662352,0.24970144662352,NA,5602240.63320839,8533402.42938009,5480034.76122736,8442285.08075582,3,4,8680823.95934947,9193400.42569769,2255492.58468117,2279245.56310524,11432822.3343411,8260294.95985322,8624275.20165841,5816217.22166763
"4",696.9421,"Unknown","6.87","","","Unknown","3","unknown","unknown",0.392298656018294,0.392298656018294,NA,6109173.8120695,3802746.00067827,7309592.59431751,3310443.10443719,4,2,7023652.61129851,7595532.57733651,1828816.73275138,7988693.32689159,8224444.2590344,6242316.22713124,378569.98174313,365653.53480431
"5",762.9844,"Unknown","6.88","[171][M]+","","Unknown","3","unknown","unknown",0.20023507467583,0.20023507467583,NA,27430030.0636736,14259506.7948569,30653563.3695267,9465175.72808518,4,2,38606398.5756496,34978797.3815335,9806594.93999138,26328329.3575198,33139347.6658238,6083746.29548947,4968328.05743333,12846605.1606809
"6",763.4794,"Unknown","6.88","","[M+K]+ 724.523 [M+Na]+ 740.497 [M+NH4]+ 745.452 [M+H]+ 762.479","Unknown","3","unknown","unknown",0.713006806231573,0.713006806231573,NA,15937381.8328627,18567815.0141231,14772393.6662829,19067849.6382449,3,4,5253153.73871233,28951586.2601728,7193529.76653524,22351257.5660305,26445819.3984232,20495321.3895673,17640377.8869224,9689741.38157959
"7",763.4927,"Unknown","6.88","","[M+K]+ 724.523 [M+Na]+ 740.497 [M+NH4]+ 745.452 [M+H]+ 762.479","Unknown","3","unknown","unknown",0.856195282466181,0.856195282466181,NA,18874486.4940594,17574262.3575787,23740731.044737,17717151.921845,3,4,26833329.3748669,26551980.3300481,1183154.51189647,20929481.7594259,24750534.1093978,18978610.9202518,16455692.9234382,10112211.477227
"8",763.9887,"Unknown","6.88","[171][M+1]+","","Unknown","3","unknown","unknown",0.482458167538694,0.482458167538694,NA,9684649.82259284,7769499.86968527,10728221.2971101,8159780.47662023,4,4,13721411.0654965,11500831.2086866,3560745.63065474,9955611.38553359,10319947.2293026,8838959.15293376,7480601.80030669,4438491.29619802
"9",765.9892,"Unknown","6.88","","[M+K]+ 727.028 [M+Na]+ 743.002 [M+NH4]+ 747.958 [M+H]+ 764.984","Unknown","3","unknown","unknown",0.257859908921486,0.257859908921486,NA,3040260.09288447,6489247.12007817,1407353.34107771,5669892.0219967,1,4,1335802.15441932,8878347.34423957,467986.345142885,1478904.52773609,11915809.3868447,5971810.3057359,5367973.7382575,2701395.04947458
"10",765.9939,"Unknown","6.88","","[M+K]+ 727.028 [M+Na]+ 743.002 [M+NH4]+ 747.958 [M+H]+ 764.984","Unknown","3","unknown","unknown",0.0339199354013373,0.0339199354013373,NA,6218667.04263295,1020308.50618826,6793276.97908032,472198.46685315,4,0,9151005.25597506,7779897.75447395,2137108.95639609,5806656.20368669,3045218.36904828,91618.721998457,641601.384080923,302795.549625376
"11",991.6589,"Unknown","6.9","","[2M+H]+ 495.329","Unknown","3","unknown","unknown",0.131430238589456,0.131430238589456,NA,248964799.952932,105848307.963625,285822972.892792,81002161.9559187,4,2,312805604.751758,369585812.897907,54627441.1282358,258840341.033826,98244062.5648372,214676162.014045,46712745.9286182,63760261.3470001
"12",991.6693,"Unknown","6.9","","[2M+H]+ 495.329","Unknown","3","unknown","unknown",0.191871136687073,0.191871136687073,NA,274599129.194046,145105755.055089,316157211.26039,136510442.512734,4,3,342531100.081208,405671463.706574,60410630.5488284,289783322.439573,98184394.3350282,236557218.137241,174836490.69044,70844917.0576476
"13",226.183,"Unknown","5.83","","","Unknown","1","unknown","unknown",0.705050180884661,0.705050180884661,NA,8885072.66717329,11066972.8686181,7606840.2639271,7153468.20949846,4,4,15806401.0228281,4642658.14584272,10571022.3820115,4520209.11801083,8039971.26975532,25055192.2557317,6266965.1492416,4905762.79974365
"14",163.1479,"Unknown","7.17","","","Unknown","4","unknown","unknown",0.572703571211835,0.572703571211835,NA,1975922.51610979,2443239.06173023,2179139.55769934,2486659.46613793,3,4,2804811.85392622,3056629.67968666,488781.269353818,1553467.26147245,3545470.24400138,1254167.07064368,2971348.3778203,2001970.55445557
"15",170.1538,"Unknown","7.16","","","Unknown","4","unknown","unknown",0.242034273865653,0.242034273865653,NA,3491921.05306361,2436758.94742431,3167196.77261628,2220206.09373727,4,4,2754381.27340866,5387647.20724455,3580012.27182391,2245643.45977734,2475819.93511192,1964592.25236263,3503557.31756252,1803066.28466016
"16",172.1143,"Unknown","7.17","","[M+K]+ 133.152 [M+Na]+ 149.126 [M+NH4]+ 154.081 [M+H]+ 171.108","Unknown","4","unknown","unknown",0.804669867217409,0.804669867217409,NA,325327067.70884,269547365.540466,214540989.386994,256835566.675345,4,3,829597856.695922,250543600.592041,178538378.181947,42628435.365449,118854520.385228,559936142.643115,4582186.16805833,394816612.965463
"17",172.1154,"Unknown","7.17","","[M+K]+ 133.152 [M+Na]+ 149.126 [M+NH4]+ 154.081 [M+H]+ 171.108","Unknown","4","unknown","unknown",0.799828992876188,0.799828992876188,NA,324822265.431371,267710173.388654,214350066.81277,256461949.715886,4,3,828012469.867802,250186173.614935,178513960.010605,42576458.2321418,118820122.771479,556785518.543627,1131275.57921755,394103776.660293
