"","mass","rt","spectra Index"
"","225.0352","5.8313","1"
"","225.1201","5.8313","1"
"","225.125","5.8313","1"
"","225.1437","5.8313","1"
"","225.1777","5.8313","1"
"","225.1803","5.8313","1"
"","225.195","5.8313","1"
"","225.1958","5.8313","1"
"","225.3553","5.8388","1"
"","226.1818","5.8313","1"
"","226.183","5.8313","1"
"","226.198","5.8313","1"
"","226.3602","5.8314","1"
"","227.1992","5.8462","1"
"","227.2","5.8313","1"
"","247.1578","5.8313","1"
"","247.1614","5.8276","1"
"","247.1635","5.8313","1"
"","247.1778","5.8313","1"
"","247.2004","5.8163","1"
"","248.1756","5.8313","1"
"","248.1793","5.8313","1"
"","263.1519","5.8163","1"
"","266.2226","5.8388","1"
"","288.1893","5.8201","1"
"","288.2047","5.8313","1"
"","288.223","5.8238","1"
"","289.2012","5.8313","1"
"","289.2041","5.8351","1"
"","289.2062","5.8313","1"
"","289.2251","5.8388","1"
"","304.264","5.8687","1"
"","307.2349","5.8313","1"
"","350.1743","5.8313","1"
"","449.3588","5.8388","1"
"","449.3845","5.8388","1"
"","450.3873","5.8313","1"
"","471.3668","5.8351","1"
"","472.358","5.8313","1"
"","472.3691","5.8313","1"
"","473.3731","5.8313","1"
"","366.04","7.3207","2"
"","366.3734","7.3128","2"
"","367.3754","7.3124","2"
"","368.3825","7.2904","2"
"","388.3542","7.3132","2"
"","437.4113","7.2908","2"
"","438.4138","7.2982","2"
"","731.7339","7.3084","2"
"","732.7372","7.3132","2"
"","732.7495","7.3088","2"
"","184.0726","6.8685","3"
"","219.2106","6.8679","3"
"","237.2211","6.8718","3"
"","239.1487","6.9269","3"
"","254.248","6.8754","3"
"","283.175","6.9082","3"
"","288.1585","6.8936","3"
"","308.6732","6.8757","3"
"","312.3258","6.9189","3"
"","313.3287","6.9193","3"
"","318.1882","6.9045","3"
"","318.6909","6.9042","3"
"","327.2011","6.8754","3"
"","421.3522","6.9344","3"
"","438.3788","6.9269","3"
"","443.3353","6.9265","3"
"","482.4053","6.9042","3"
"","487.36","6.9046","3"
"","495.8166","6.8972","3"
"","496.3387","6.901","3"
"","496.5515","6.8972","3"
"","496.8652","6.8972","3"
"","497.3377","6.901","3"
"","497.343","6.8975","3"
"","497.3488","6.8973","3"
"","498.3429","6.8973","3"
"","498.3463","6.8972","3"
"","499.349","6.8972","3"
"","515.3102","6.8972","3"
"","515.3137","6.8971","3"
"","515.814","6.897","3"
"","519.3217","6.897","3"
"","519.3256","6.8971","3"
"","519.3303","6.8936","3"
"","526.4309","6.8827","3"
"","526.8061","6.8972","3"
"","527.435","6.8827","3"
"","528.8227","6.927","3"
"","534.2961","6.8974","3"
"","575.4112","6.8938","3"
"","580.2913","6.8972","3"
"","581.2957","6.8973","3"
"","586.3025","6.8899","3"
"","587.3125","6.8863","3"
"","591.3855","6.8719","3"
"","602.2738","6.9048","3"
"","672.454","6.8828","3"
"","672.955","6.8827","3"
"","675.4315","6.883","3"
"","694.462","6.8719","3"
"","694.9655","6.8753","3"
"","696.9421","6.8679","3"
"","762.9844","6.8753","3"
"","763.4794","6.8754","3"
"","763.4927","6.8754","3"
"","763.9886","6.8753","3"
"","765.9892","6.8754","3"
"","765.9939","6.879","3"
"","991.6589","6.8974","3"
"","991.6693","6.8973","3"
"","163.1479","7.1659","4"
"","170.1537","7.1572","4"
"","172.1143","7.1679","4"
"","172.1154","7.1731","4"
"","175.148","7.1659","4"
"","184.1696","7.1579","4"
"","193.1587","7.1659","4"
"","211.1691","7.1679","4"
"","222.1561","7.1572","4"
"","228.1958","7.166","4"
"","236.0595","7.1868","4"
"","247.2382","7.1579","4"
"","247.241","7.1586","4"
"","248.2452","7.1579","4"
"","250.1778","7.168","4"
"","265.2524","7.1585","4"
"","266.2557","7.1586","4"
"","282.0545","7.1579","4"
"","282.2593","7.1586","4"
"","282.2788","7.1586","4"
"","282.2964","7.1572","4"
"","282.298","7.1586","4"
"","282.504","7.1585","4"
"","283.282","7.1585","4"
"","283.301","7.1606","4"
"","366.2306","7.1566","4"
"","369.2974","7.1257","4"
"","407.258","7.1512","4"
"","408.3079","7.1586","4"
"","434.219","7.156","4"
"","477.4418","7.1514","4"
"","478.4445","7.149","4"
"","499.4235","7.1487","4"
"","563.5503","7.1586","4"
"","578.4259","7.1809","4"
"","609.4749","7.1816","4"
"","613.429","7.1731","4"
"","622.4528","7.1585","4"
"","634.5547","7.166","4"
"","635.4707","7.1608","4"
"","652.4987","7.1558","4"
"","653.4975","7.1586","4"
"","666.4761","7.1361","4"
"","696.5222","7.1344","4"
"","697.5279","7.1307","4"
"","697.5343","7.1297","4"
"","701.4794","7.135","4"
"","701.4859","7.135","4"
"","702.4836","7.1344","4"
"","806.5647","7.1868","4"
"","190.1257","6.7417","5"
"","227.1276","6.7345","5"
"","259.2167","6.7515","5"
"","271.1534","6.7197","5"
"","279.6452","6.7421","5"
"","280.1487","6.7421","5"
"","309.6755","6.7515","5"
"","375.2498","6.7346","5"
"","397.2944","6.7197","5"
"","414.3218","6.7197","5"
"","415.3242","6.7197","5"
"","419.276","6.716","5"
"","420.2802","6.7197","5"
"","463.3034","6.7063","5"
"","478.2931","6.7365","5"
"","479.2947","6.7414","5"
"","482.3236","6.751","5"
"","483.3277","6.7569","5"
"","500.2733","6.7413","5"
"","505.3106","6.7719","5"
"","512.4155","6.7661","5"
"","517.371","6.7615","5"
"","520.3248","6.7365","5"
"","520.3408","6.7419","5"
"","520.3749","6.7419","5"
"","521.3358","6.7392","5"
"","521.3392","6.7392","5"
"","539.3132","6.7494","5"
"","539.8159","6.7463","5"
"","542.3185","6.7387","5"
"","542.3201","6.7414","5"
"","542.3238","6.7419","5"
"","542.3574","6.7419","5"
"","543.3209","6.7417","5"
"","543.3244","6.7414","5"
"","556.4409","6.7534","5"
"","558.2942","6.7369","5"
"","561.3948","6.7437","5"
"","600.4649","6.7364","5"
"","600.4683","6.7345","5"
"","604.2915","6.7478","5"
"","605.2954","6.7422","5"
"","605.4239","6.7346","5"
"","610.3079","6.742","5"
"","611.31","6.7419","5"
"","611.3114","6.7405","5"
"","644.4932","6.7197","5"
"","804.5484","6.7414","5"
"","804.5562","6.733","5"
"","222.0977","6.6051","6"
"","264.1448","6.6392","6"
"","265.1468","6.6318","6"
"","266.1419","6.6337","6"
"","298.2734","6.6258","6"
"","320.3308","6.6084","6"
"","338.3416","6.6154","6"
"","338.363","6.6228","6"
"","339.3391","6.6154","6"
"","339.3433","6.6193","6"
"","339.3445","6.6193","6"
"","340.3484","6.614","6"
"","340.3517","6.6206","6"
"","357.2028","6.6078","6"
"","360.3236","6.6157","6"
"","378.282","6.6078","6"
"","379.1851","6.6072","6"
"","405.261","6.5922","6"
"","410.3834","6.6096","6"
"","427.3051","6.5854","6"
"","428.1459","6.6445","6"
"","468.3092","6.6304","6"
"","676.6782","6.6232","6"
"","722.5041","6.628","6"
"","722.5103","6.6296","6"
"","284.2897","7.3952","7"
"","285.2972","7.3992","7"
"","466.1784","7.4179","7"
"","780.5379","7.3664","7"
"","780.5523","7.3664","7"
"","781.5478","7.372","7"
"","781.5551","7.3888","7"
"","781.563","7.4055","7"
"","785.5853","7.382","7"
"","270.279","7.2087","8"
"","309.2789","7.2325","8"
"","310.31","7.2458","8"
"","311.3126","7.2456","8"
"","449.4101","7.2185","8"
"","450.4134","7.2238","8"
"","455.3344","7.2235","8"
"","503.3943","7.2311","8"
"","520.4189","7.233","8"
"","520.4226","7.2312","8"
"","524.3408","7.2134","8"
"","524.3589","7.2162","8"
"","564.4481","7.2108","8"
"","569.4003","7.2059","8"
"","609.3258","7.2342","8"
"","156.1382","6.4901","9"
"","157.1415","6.488","9"
"","174.1488","6.4947","9"
"","191.0704","6.5098","9"
"","205.0886","6.5164","9"
"","209.0798","6.5105","9"
"","255.2428","6.517","9"
"","256.245","6.5167","9"
"","257.2472","6.5173","9"
"","267.1724","6.5132","9"
"","277.218","6.5081","9"
"","277.223","6.517","9"
"","279.1586","6.5105","9"
"","280.2634","6.523","9"
"","289.1541","6.5089","9"
"","296.3309","6.5098","9"
"","298.3104","6.535","9"
"","301.0122","6.4871","9"
"","301.1406","6.5098","9"
"","301.1606","6.4991","9"
"","308.0437","6.5186","9"
"","318.2403","6.5036","9"
"","319.2518","6.5112","9"
"","320.2551","6.5155","9"
"","321.2582","6.5187","9"
"","339.1537","6.5248","9"
"","342.1674","6.5098","9"
"","345.1056","6.4964","9"
"","346.1085","6.4918","9"
"","352.3575","6.4993","9"
"","356.3524","6.4907","9"
"","376.357","6.5098","9"
